DATA,REG_ANS,CD_CONTA_CONTABIL,DESCRICAO,VL_SALDO_INICIAL,VL_SALDO_FINAL,ano,trimestre
2025-01-01,312720,411112141,Despesas com Eventos / Sinistros,0.0,3373957.31,2025,1T
2025-01-01,312720,411112147,Despesas com Eventos/Sinistros - Judicial,0.0,298125.01,2025,1T
2025-01-01,312720,411112151,Despesas com Eventos / Sinistros,0.0,108.25,2025,1T
2025-01-01,312720,411112157,Despesas com Eventos/Sinistros - Judicial,0.0,0.0,2025,1T
2025-01-01,312720,411112161,Despesas com Eventos / Sinistros,0.0,749102.62,2025,1T
2025-01-01,312720,411112167,Despesas com Eventos/Sinistros - Judicial,0.0,21523.94,2025,1T
2025-01-01,312720,411112181,Despesas com Eventos / Sinistros,0.0,1702358.0,2025,1T
2025-01-01,312720,411112231,Despesas com Eventos / Sinistros,0.0,0.0,2025,1T
2025-01-01,312720,411112237,Despesas com Eventos/Sinistros - Judicial,0.0,0.0,2025,1T
2025-01-01,312720,411112241,Despesas com Eventos / Sinistros,0.0,4075603.41,2025,1T
2025-01-01,312720,411112247,Despesas com Eventos/Sinistros - Judicial,0.0,459878.44,2025,1T
2025-01-01,312720,411112251,Despesas com Eventos / Sinistros,0.0,13702.07,2025,1T
2025-01-01,312720,411112257,Despesas com Eventos/Sinistros - Judicial,0.0,0.0,2025,1T
2025-01-01,312720,411112261,Despesas com Eventos / Sinistros,0.0,2162305.91,2025,1T
2025-01-01,312720,411112267,Despesas com Eventos/Sinistros - Judicial,0.0,291943.02,2025,1T
2025-01-01,312720,411112281,Despesas com Eventos / Sinistros,0.0,2689518.29,2025,1T
2025-01-01,312720,411112731,Despesas com Eventos / Sinistros,0.0,0.0,2025,1T
2025-01-01,312720,411112741,Despesas com Eventos / Sinistros,0.0,0.0,2025,1T
2025-01-01,312720,411112751,Despesas com Eventos / Sinistros,0.0,0.0,2025,1T
2025-01-01,312720,411112761,Despesas com Eventos / Sinistros,0.0,0.0,2025,1T
2025-01-01,312720,411411111,Despesas com Eventos / Sinistros,0.0,202773.89,2025,1T
2025-01-01,312720,411411117,Despesas com Eventos/Sinistros - Judicial,0.0,2816.83,2025,1T
2025-01-01,312720,411411121,Despesas com Eventos / Sinistros,0.0,199005.86,2025,1T
2025-01-01,312720,411411127,Despesas com Eventos/Sinistros - Judicial,0.0,9840.5,2025,1T
2025-01-01,312720,411411131,Despesas com Eventos / Sinistros,0.0,89345.47,2025,1T
2025-01-01,312720,411411137,Despesas com Eventos/Sinistros - Judicial,0.0,3287.24,2025,1T
2025-01-01,312720,411411141,Despesas com Eventos / Sinistros,0.0,2436678.37,2025,1T
2025-01-01,312720,411411147,Despesas com Eventos/Sinistros - Judicial,0.0,13239.97,2025,1T
2025-01-01,312720,411411151,Despesas com Eventos / Sinistros,0.0,2619.76,2025,1T
2025-01-01,312720,411411157,Despesas com Eventos/Sinistros - Judicial,0.0,0.0,2025,1T
2025-01-01,312720,411411161,Despesas com Eventos / Sinistros,0.0,824593.82,2025,1T
2025-01-01,312720,411411167,Despesas com Eventos/Sinistros - Judicial,0.0,502.67,2025,1T
2025-01-01,312720,411411211,Despesas com Eventos / Sinistros,0.0,90247.93,2025,1T
2025-01-01,312720,411411217,Despesas com Eventos/Sinistros - Judicial,0.0,2155.2,2025,1T
2025-01-01,312720,411411221,Despesas com Eventos / Sinistros,0.0,181658.79,2025,1T
2025-01-01,312720,411411227,Despesas com Eventos/Sinistros - Judicial,0.0,27737.28,2025,1T
2025-01-01,312720,411411231,Despesas com Eventos / Sinistros,0.0,36074.21,2025,1T
2025-01-01,312720,411411237,Despesas com Eventos/Sinistros - Judicial,0.0,14721.53,2025,1T
2025-01-01,312720,411411241,Despesas com Eventos / Sinistros,0.0,462682.31,2025,1T
2025-01-01,312720,411411247,Despesas com Eventos/Sinistros - Judicial,0.0,328368.27,2025,1T
2025-01-01,312720,411411251,Despesas com Eventos / Sinistros,0.0,0.0,2025,1T
2025-01-01,314099,411111121,Despesas com Eventos / Sinistros na modalidade de pagamento por procedimento,0.0,261632.0,2025,1T
2025-01-01,314099,411111141,Despesas com Eventos / Sinistros na modalidade de pagamento por procedimento,0.0,383148.74,2025,1T
2025-01-01,314099,411111161,Despesas com Eventos / Sinistros na modalidade de pagamento por procedimento,0.0,2819600.49,2025,1T
2025-01-01,314099,411111221,Despesas com Eventos / Sinistros na modalidade de pagamento por procedimento,0.0,1591626.16,2025,1T
2025-01-01,314099,411111241,Despesas com Eventos / Sinistros na modalidade de pagamento por procedimento,0.0,1835779.4,2025,1T
2025-01-01,314099,411111261,Despesas com Eventos / Sinistros na modalidade de pagamento por procedimento,0.0,12960288.89,2025,1T
2025-01-01,314099,411111721,Despesas com Eventos / Sinistros na modalidade de pagamento por procedimento,0.0,2217107.85,2025,1T
2025-01-01,314099,411111741,Despesas com Eventos / Sinistros na modalidade de pagamento por procedimento,0.0,1439428.74,2025,1T
2025-01-01,314099,411111761,Despesas com Eventos / Sinistros na modalidade de pagamento por procedimento,0.0,10229431.34,2025,1T
2025-01-01,314099,411112161,Despesas com Eventos / Sinistros,0.0,61329.54,2025,1T
2025-01-01,314099,411112181,Despesas com Eventos / Sinistros,0.0,8777417.03,2025,1T
2025-01-01,314099,411112261,Despesas com Eventos / Sinistros,0.0,352016.71,2025,1T
2025-01-01,314099,411112761,Despesas com Eventos / Sinistros,0.0,191637.93,2025,1T
2025-01-01,314099,411411221,Despesas com Eventos / Sinistros,0.0,52633.5,2025,1T
2025-01-01,314099,411411241,Despesas com Eventos / Sinistros,0.0,81945.98,2025,1T
2025-01-01,314099,411411261,Despesas com Eventos / Sinistros,0.0,454670.98,2025,1T
2025-01-01,314099,411411721,Despesas com Eventos / Sinistros,0.0,59860.11,2025,1T
2025-01-01,314099,411411741,Despesas com Eventos / Sinistros,0.0,91996.57,2025,1T
2025-01-01,314099,411411761,Despesas com Eventos / Sinistros,0.0,597298.29,2025,1T
2025-01-01,314099,411412181,Despesas com Eventos / Sinistros,0.0,410457.23,2025,1T
2025-01-01,314099,411412261,Despesas com Eventos / Sinistros,0.0,4506.57,2025,1T
2025-01-01,314099,411412761,Despesas com Eventos / Sinistros,0.0,9757.06,2025,1T
2025-01-01,314099,411511121,Despesas com Eventos / Sinistros,0.0,556353.36,2025,1T
2025-01-01,314099,411511141,Despesas com Eventos / Sinistros,0.0,895507.01,2025,1T
2025-01-01,314099,411511161,Despesas com Eventos / Sinistros,0.0,4118219.41,2025,1T
2025-01-01,314099,411512161,Despesas com Eventos / Sinistros,0.0,27026.8,2025,1T
2025-01-01,314099,411512181,Despesas com Eventos / Sinistros,0.0,647637.57,2025,1T
2025-01-01,314099,411611121,Despesas com Eventos / Sinistros,0.0,1123609.06,2025,1T
2025-01-01,314099,411611141,Despesas com Eventos / Sinistros,0.0,2928797.19,2025,1T
2025-01-01,314099,411611161,Despesas com Eventos / Sinistros,0.0,12728714.2,2025,1T
2025-01-01,315648,411111111,Despesas com Eventos / Sinistros na modalidade de pagamento por procedimento,0.0,151596.92,2025,1T
2025-01-01,315648,411111121,Despesas com Eventos / Sinistros na modalidade de pagamento por procedimento,0.0,791640.42,2025,1T
2025-01-01,315648,411111131,Despesas com Eventos / Sinistros na modalidade de pagamento por procedimento,0.0,49530.64,2025,1T
2025-01-01,315648,411111141,Despesas com Eventos / Sinistros na modalidade de pagamento por procedimento,0.0,193739.28,2025,1T
2025-01-01,315648,411111151,Despesas com Eventos / Sinistros na modalidade de pagamento por procedimento,0.0,8402.43,2025,1T
2025-01-01,315648,411111161,Despesas com Eventos / Sinistros na modalidade de pagamento por procedimento,0.0,1585151.15,2025,1T
2025-01-01,315648,411111211,Despesas com Eventos / Sinistros na modalidade de pagamento por procedimento,0.0,156930.03,2025,1T
2025-01-01,315648,411111221,Despesas com Eventos / Sinistros na modalidade de pagamento por procedimento,0.0,1356230.88,2025,1T
2025-01-01,315648,411111231,Despesas com Eventos / Sinistros na modalidade de pagamento por procedimento,0.0,95020.92,2025,1T
2025-01-01,315648,411111241,Despesas com Eventos / Sinistros na modalidade de pagamento por procedimento,0.0,174780.5,2025,1T
2025-01-01,315648,411111251,Despesas com Eventos / Sinistros na modalidade de pagamento por procedimento,0.0,4216.03,2025,1T
2025-01-01,315648,411111261,Despesas com Eventos / Sinistros na modalidade de pagamento por procedimento,0.0,1087097.4,2025,1T
2025-01-01,315648,411111727,Despesas com Eventos/Sinistros - Judicial,0.0,10000.0,2025,1T
2025-01-01,315648,411112181,Despesas com Eventos / Sinistros,0.0,712216.46,2025,1T
2025-01-01,315648,411411211,Despesas com Eventos / Sinistros,0.0,15785.94,2025,1T
2025-01-01,315648,411411221,Despesas com Eventos / Sinistros,0.0,24547.44,2025,1T
2025-01-01,315648,411411231,Despesas com Eventos / Sinistros,0.0,1920.28,2025,1T
2025-01-01,315648,411411241,Despesas com Eventos / Sinistros,0.0,5979.68,2025,1T
2025-01-01,315648,411411261,Despesas com Eventos / Sinistros,0.0,60553.35,2025,1T
2025-01-01,315648,411412181,Despesas com Eventos / Sinistros,0.0,13932.06,2025,1T
2025-01-01,315648,411412231,Despesas com Eventos / Sinistros,0.0,214.0,2025,1T
2025-01-01,315648,411511111,Despesas com Eventos / Sinistros,0.0,173225.61,2025,1T
2025-01-01,315648,411511121,Despesas com Eventos / Sinistros,0.0,385500.67,2025,1T
2025-01-01,315648,411511131,Despesas com Eventos / Sinistros,0.0,35051.64,2025,1T
2025-01-01,315648,411511141,Despesas com Eventos / Sinistros,0.0,118509.56,2025,1T
