RegistroANS,CNPJ,RazaoSocial,Trimestre,Ano,ValorDespesas
326500,,,3T,2025,28074941198
326755,,,3T,2025,18288422917
326861,,,3T,2025,22741962493
327328,,,3T,2025,9365970
327352,,,3T,2025,3057746167
327417,,,3T,2025,16938018508
327468,,,3T,2025,1799645501
327557,,,3T,2025,8974499955
327638,,,3T,2025,1663942909
327689,,,3T,2025,83979602176
328294,,,3T,2025,14498819949
328308,,,3T,2025,2868390333
328375,,,3T,2025,2234769324
328537,,,3T,2025,3284844231
329339,,,3T,2025,31288176486
329355,,,3T,2025,3836947582
329665,,,3T,2025,2928415602
329886,,,3T,2025,8334222254
330108,,,3T,2025,12188949410
330116,,,3T,2025,3840569130
330264,,,3T,2025,13141720111
330281,,,3T,2025,3980632508
330566,,,3T,2025,10848958603
330809,,,3T,2025,7476488853
330892,,,3T,2025,2340135976
331104,,,3T,2025,259181229
331317,,,3T,2025,39860897666
331341,,,3T,2025,19402719766
331651,,,3T,2025,11746663174
331872,,,3T,2025,62911342819
331988,,,3T,2025,43602702296
333051,,,3T,2025,20826972471
333239,,,3T,2025,94987253
333662,,,3T,2025,24098648719
333689,,,3T,2025,116982126690
333808,,,3T,2025,3541936031
333867,,,3T,2025,1500074187
333875,,,3T,2025,4404625267
334154,,,3T,2025,10307503707
334243,,,3T,2025,575605811
334511,,,3T,2025,802470429
334561,,,3T,2025,68747985115
334847,,,3T,2025,1792180258
335100,,,3T,2025,141504989247
335215,,,3T,2025,17088354206
335258,,,3T,2025,1076350303
335479,,,3T,2025,32155921897
335517,,,3T,2025,8973764754
335541,,,3T,2025,6571557344
335592,,,3T,2025,97591216255
335614,,,3T,2025,119656029672
335657,,,3T,2025,1914172100
335690,,,3T,2025,248685395928
335754,,,3T,2025,9341392866
335789,,,3T,2025,2684825322
336017,,,3T,2025,336813153
336106,,,3T,2025,35989842718
336467,,,3T,2025,2414420471
336831,,,3T,2025,11286340957
336858,,,3T,2025,670096977492
337188,,,3T,2025,30431910572
337374,,,3T,2025,23617844180
337498,,,3T,2025,7241413663
337561,,,3T,2025,1772467068
337668,,,3T,2025,54693501896
337871,,,3T,2025,13778918909
338346,,,3T,2025,6632095138
338648,,,3T,2025,15160180803
339458,,,3T,2025,361438370
339679,,,3T,2025,927700873572
339954,,,3T,2025,40719230245
340162,,,3T,2025,257004640
340251,,,3T,2025,7104536602
340782,,,3T,2025,65248895651
340952,,,3T,2025,33656453697
341819,,,3T,2025,147335263
341941,,,3T,2025,1598734121
342033,,,3T,2025,57169402505
342084,,,3T,2025,120154050601
342131,,,3T,2025,4925992684
342157,,,3T,2025,946146546
342203,,,3T,2025,1536096879
342343,,,3T,2025,11135459902
342386,,,3T,2025,9612523691
342556,,,3T,2025,20182662335
342611,,,3T,2025,30993203690
342807,,,3T,2025,12213385795
342955,,,3T,2025,301087058
343056,,,3T,2025,340394989
343064,,,3T,2025,6655765532
343129,,,3T,2025,2321841614
343153,,,3T,2025,777104720
343269,,,3T,2025,84123735935
343331,,,3T,2025,6890595734
343404,,,3T,2025,118445572
343463,,,3T,2025,6236320625
343676,,,3T,2025,3122865326
343684,,,3T,2025,4536310701
343722,,,3T,2025,1904251363
343731,,,3T,2025,89277560774
343765,,,3T,2025,2700576559
343889,,,3T,2025,532096914997
344141,,,3T,2025,1673081891
344184,,,3T,2025,437698026
344362,,,3T,2025,14956654413
344397,,,3T,2025,29072019941
344451,,,3T,2025,1651286653
344729,,,3T,2025,16058868680
344788,,,3T,2025,2198498102
344800,,,3T,2025,23331446935
344885,,,3T,2025,178373257067
344915,,,3T,2025,301008844
345091,,,3T,2025,5353308229
345318,,,3T,2025,1196002381
345458,,,3T,2025,8205221442
345598,,,3T,2025,23043574426
345709,,,3T,2025,10967853289
345741,,,3T,2025,242389517
345776,,,3T,2025,5101023156
346004,,,3T,2025,1245645099
346209,,,3T,2025,10937273370
346276,,,3T,2025,22870713737
346659,,,3T,2025,680797349169
346926,,,3T,2025,111359142116
346951,,,3T,2025,5154333920
347108,,,3T,2025,3685215886
347507,,,3T,2025,22102617289
347604,,,3T,2025,850374924
347655,,,3T,2025,9652968999
347736,,,3T,2025,3651609581
347795,,,3T,2025,453235587
347825,,,3T,2025,984738722
348082,,,3T,2025,20394762072
348180,,,3T,2025,24555593986
348244,,,3T,2025,10768617916
348261,,,3T,2025,3895061413
348295,,,3T,2025,88810557670
348520,,,3T,2025,86781319208
348830,,,3T,2025,16934189983
349682,,,3T,2025,29316939835
349712,,,3T,2025,40422971158
350141,,,3T,2025,20613968891
350249,,,3T,2025,25448317995
350346,,,3T,2025,2002909990
350371,,,3T,2025,18264726615
350494,,,3T,2025,6561985356
350648,,,3T,2025,2237162554
350699,,,3T,2025,8910692740
350770,,,3T,2025,379444657
351202,,,3T,2025,81207763596
351270,,,3T,2025,2603117873
351407,,,3T,2025,15108270185
351776,,,3T,2025,2177621184
352179,,,3T,2025,7825592933
352314,,,3T,2025,7746842618
352331,,,3T,2025,105291806420
352501,,,3T,2025,381199636514
352519,,,3T,2025,2682136135
352543,,,3T,2025,14836899646
352586,,,3T,2025,936096054
352683,,,3T,2025,18673416739
353027,,,3T,2025,6378901606
353060,,,3T,2025,25744365819
353264,,,3T,2025,2156113114
353353,,,3T,2025,42383899795
353663,,,3T,2025,37250046858
353698,,,3T,2025,3133039982
353876,,,3T,2025,3915114868
354031,,,3T,2025,46674200275
354066,,,3T,2025,41553685915
354279,,,3T,2025,6948568627
354295,,,3T,2025,27348334896
354325,,,3T,2025,6266902781
354511,,,3T,2025,9344774000
354562,,,3T,2025,7262426085
354619,,,3T,2025,3461285709
354627,,,3T,2025,1428978216907
354678,,,3T,2025,1238013220
354783,,,3T,2025,32701235772
354996,,,3T,2025,2860843428
355097,,,3T,2025,69292641167
355151,,,3T,2025,32708193987
355577,,,3T,2025,5487193288
355593,,,3T,2025,5757949207
355691,,,3T,2025,78929510637
355721,,,3T,2025,74758667022
356123,,,3T,2025,19543873884
356417,,,3T,2025,47670842656
356476,,,3T,2025,11542933780
356581,,,3T,2025,6732098374
357022,,,3T,2025,7332752115
357138,,,3T,2025,11774524962
357260,,,3T,2025,16332774936
357391,,,3T,2025,184336660255
357511,,,3T,2025,67140717896
357669,,,3T,2025,392905489
357715,,,3T,2025,3737166862
358053,,,3T,2025,10964014234
358088,,,3T,2025,21280384680
358096,,,3T,2025,10227380946
358282,,,3T,2025,3830630423
358339,,,3T,2025,453982492
358436,,,3T,2025,1492882994
358754,,,3T,2025,4699199077
359017,,,3T,2025,864922744075
359033,,,3T,2025,4179187024
359122,,,3T,2025,8430639324
359661,,,3T,2025,185961422707
359777,,,3T,2025,20730022482
360244,,,3T,2025,22105664047
360414,,,3T,2025,5076121065
360449,,,3T,2025,157776989310
360783,,,3T,2025,1042801023
361011,,,3T,2025,45410602130
361461,,,3T,2025,6545681998
361569,,,3T,2025,1061724672
361593,,,3T,2025,1033325981
361615,,,3T,2025,12293310132
361941,,,3T,2025,8491462486
362140,,,3T,2025,5326455148
362573,,,3T,2025,4713163240
362832,,,3T,2025,3401699975
363189,,,3T,2025,861659772
363286,,,3T,2025,3116996185
363391,,,3T,2025,728503861
363855,,,3T,2025,8011094785
364070,,,3T,2025,2324513496
364312,,,3T,2025,36746581835
364584,,,3T,2025,43676919235
364592,,,3T,2025,4099827554
364860,,,3T,2025,19197252335
365238,,,3T,2025,5360207771
365530,,,3T,2025,2706190369
365645,,,3T,2025,377830053
365777,,,3T,2025,7998799652
365785,,,3T,2025,367725185
366064,,,3T,2025,8203537790
366340,,,3T,2025,3569804457
366439,,,3T,2025,1347735691
366561,,,3T,2025,25859368345
367087,,,3T,2025,34306662133
367095,,,3T,2025,29249255312
367397,,,3T,2025,23647516654
367613,,,3T,2025,1106616623
368148,,,3T,2025,9249804564
368253,,,3T,2025,731533846063
368555,,,3T,2025,1989184050
368920,,,3T,2025,7757524117
369292,,,3T,2025,43907048642
369411,,,3T,2025,27104198333
369659,,,3T,2025,56610613453
370070,,,3T,2025,60417878644
370088,,,3T,2025,4734524879
370568,,,3T,2025,628227951
370592,,,3T,2025,1550958823
370681,,,3T,2025,17419762987
370711,,,3T,2025,107209179
370975,,,3T,2025,4013493450
371106,,,3T,2025,22536719137
371254,,,3T,2025,90255714951
371564,,,3T,2025,3512784384
371629,,,3T,2025,19093475892
371777,,,3T,2025,10159857538
372561,,,3T,2025,9890365297
372609,,,3T,2025,19572043946
373109,,,3T,2025,307910173
374440,,,3T,2025,2873291940
378216,,,3T,2025,5200976051
379280,,,3T,2025,16461266573
379956,,,3T,2025,168342500630
380661,,,3T,2025,27439013048
381144,,,3T,2025,422997794
382281,,,3T,2025,383103415
382540,,,3T,2025,8304179101
382639,,,3T,2025,40410491
382655,,,3T,2025,516480544
382876,,,3T,2025,223540052768
384577,,,3T,2025,80566038084
384704,,,3T,2025,238347286
385255,,,3T,2025,11800561732
385620,,,3T,2025,8350758454
385697,,,3T,2025,52881608980
386588,,,3T,2025,29808303535
386596,,,3T,2025,10653821570
386901,,,3T,2025,3024811598
387185,,,3T,2025,2532320834
388092,,,3T,2025,1033283544
389358,,,3T,2025,1765313901
389854,,,3T,2025,1074756253
390259,,,3T,2025,651797423
392804,,,3T,2025,29427000773
393533,,,3T,2025,3758501664
394734,,,3T,2025,5594058648
395480,,,3T,2025,6503077074
397245,,,3T,2025,84632028
401081,,,3T,2025,8610895308
401480,,,3T,2025,1914391748
402001,,,3T,2025,809777292
402206,,,3T,2025,1820081850
402966,,,3T,2025,1746174344
403962,,,3T,2025,4964847148
404241,,,3T,2025,1829013237
406481,,,3T,2025,7519524232
406554,,,3T,2025,10597143065
406635,,,3T,2025,701137890
406805,,,3T,2025,1852684610
406813,,,3T,2025,415750539
406937,,,3T,2025,2077976547
406945,,,3T,2025,4706876001
407011,,,3T,2025,57102706041
407224,,,3T,2025,39507382
407534,,,3T,2025,221614221
407569,,,3T,2025,507817133
408026,,,3T,2025,340164429
408034,,,3T,2025,371187422
408093,,,3T,2025,410528153
408263,,,3T,2025,889449021
408522,,,3T,2025,92406536
408794,,,3T,2025,2691099407
409243,,,3T,2025,14702212643
409286,,,3T,2025,38308819
409405,,,3T,2025,349043419
409413,,,3T,2025,1151608502
409634,,,3T,2025,701874091
409791,,,3T,2025,444587304
410110,,,3T,2025,2087715215
410128,,,3T,2025,3479191273
410292,,,3T,2025,3612198594
410608,,,3T,2025,1420835280
410624,,,3T,2025,803174142
410888,,,3T,2025,2482917157
411248,,,3T,2025,496362748
411256,,,3T,2025,38116457145
411582,,,3T,2025,4367786226
411752,,,3T,2025,17229265941
411809,,,3T,2025,124295755
411868,,,3T,2025,796462792
412015,,,3T,2025,305818045
412058,,,3T,2025,2348184604
412252,,,3T,2025,2100134381
412295,,,3T,2025,5466831956
412635,,,3T,2025,1589430026
412759,,,3T,2025,2818221077
412996,,,3T,2025,669240148
413160,,,3T,2025,3638072023
413267,,,3T,2025,185863663
413283,,,3T,2025,375905048
413330,,,3T,2025,3121243140
413372,,,3T,2025,1839128505
413429,,,3T,2025,1461974438
413518,,,3T,2025,1791738115
413534,,,3T,2025,71324918486
413551,,,3T,2025,58087174
413721,,,3T,2025,2372178134
413747,,,3T,2025,319981228
414026,,,3T,2025,562616250
414212,,,3T,2025,2183239942
414310,,,3T,2025,12371961871
414352,,,3T,2025,10094701948
414387,,,3T,2025,170610916
414492,,,3T,2025,8491530536
414573,,,3T,2025,5930358200
414581,,,3T,2025,12827264729
414654,,,3T,2025,465567676
414662,,,3T,2025,1010310708
414689,,,3T,2025,746870220
414701,,,3T,2025,88884207
414905,,,3T,2025,6661673537
414930,,,3T,2025,7644025705
415014,,,3T,2025,8326229273
415065,,,3T,2025,3995026688
415081,,,3T,2025,241362047
415111,,,3T,2025,20198427987
415243,,,3T,2025,339786541
415626,,,3T,2025,2207641615
415693,,,3T,2025,12461041301
415774,,,3T,2025,13239646010
415901,,,3T,2025,100690745
415910,,,3T,2025,185547994
415936,,,3T,2025,347423119
415944,,,3T,2025,11277711
415987,,,3T,2025,396759348
416398,,,3T,2025,5186985004
416401,,,3T,2025,18782592568
416410,,,3T,2025,5646949
416428,,,3T,2025,385250340676
416495,,,3T,2025,5987356357
416525,,,3T,2025,765343699
416568,,,3T,2025,23972140184
416584,,,3T,2025,4461083708
416690,,,3T,2025,6877374037
416738,,,3T,2025,8252377836
416801,,,3T,2025,7117037670
417106,,,3T,2025,31955512
417131,,,3T,2025,177365259
417211,,,3T,2025,5056789643
417220,,,3T,2025,202498729
417297,,,3T,2025,10806611579
417424,,,3T,2025,0
417475,,,3T,2025,781378886
417491,,,3T,2025,948582119
417505,,,3T,2025,8799785648
417530,,,3T,2025,25710034065
417548,,,3T,2025,3876974844
417599,,,3T,2025,4552318317
417661,,,3T,2025,5499269184
417815,,,3T,2025,5911584121
417831,,,3T,2025,284135868
417840,,,3T,2025,167119784
417947,,,3T,2025,10080889075
417955,,,3T,2025,4835997363
418021,,,3T,2025,28590803616
418072,,,3T,2025,201570411
418129,,,3T,2025,600157671
418137,,,3T,2025,1019802136
418170,,,3T,2025,21503450228
418218,,,3T,2025,70263178
418226,,,3T,2025,618156391
418285,,,3T,2025,12527399584
418374,,,3T,2025,14528500475
418501,,,3T,2025,1162508951
418587,,,3T,2025,5271439568
418617,,,3T,2025,3406468500
418650,,,3T,2025,13214408533
418731,,,3T,2025,5942488105
418749,,,3T,2025,680552159
418803,,,3T,2025,7559938359
418820,,,3T,2025,4653788605
418919,,,3T,2025,4975286025
418960,,,3T,2025,-70000
418994,,,3T,2025,47854331
419010,,,3T,2025,36473774572
419028,,,3T,2025,249623326
419052,,,3T,2025,4173005390
419079,,,3T,2025,0
